time,pitch,roll,label
1736849763,-26,13,2
1736849764,-26,13,2
1736849764,-25,11,2
1736849764,-27,13,2
1736849764,-25,14,2
1736849764,-25,18,2
1736849765,-20,21,2
1736849765,-19,19,2
1736849765,-17,13,2
1736849765,-23,14,2
1736849765,-26,16,2
1736849766,-23,18,2
1736849783,-2,-2,2
1736849783,-3,-2,2
1736849783,-4,-2,2
1736849784,-1,-3,2
1736849784,4,-2,2
1736849784,6,1,2
1736849784,9,3,2
1736849784,10,2,2
1736849785,11,3,2
1736849785,10,2,2
1736849785,9,2,2
1736849785,8,2,2
1736849785,5,2,2
1736849786,2,-1,2
1736849786,-1,-3,2
1736849786,-2,-2,2
1736849786,-1,-1,2
1736849786,1,0,2
1736849787,1,-1,2
1736849787,2,-3,2
1736849787,2,-3,2
1736849787,3,-3,2
1736849787,3,-2,2
1736849788,2,-1,2
1736849788,2,-1,2
1736849788,1,-1,2
1736849788,2,-2,2
1736849788,2,-2,2
1736849789,1,-3,2
1736849789,1,-3,2
1736849789,2,-3,2
1736849789,4,-3,2
1736849789,4,-3,2
1736849790,4,-3,2
1736849790,3,-3,2
1736849790,3,-3,2
1736849790,2,-3,2
1736849790,2,-3,2
1736849791,2,-4,2
1736849791,3,-4,2
1736849791,3,-4,2
1736849791,3,-4,2
1736849791,3,-3,2
1736849792,1,-3,2
1736849792,1,-3,2
1736849792,3,-3,2
1736849792,3,-4,2
1736849793,3,-6,2
1736849793,3,-7,2
1736849793,3,-7,2
1736849793,3,-6,2
1736849793,2,-5,2
1736849794,1,-4,2
1736849794,2,-4,2
1736849794,1,-4,2
1736849794,2,-5,2
1736849794,3,-6,2
1736849795,3,-6,2
1736849795,2,-7,2
1736849795,3,-8,2
1736849795,3,-7,2
1736849795,4,-5,2
1736849796,3,-4,2
1736849796,3,-4,2
1736849796,3,-5,2
1736849796,4,-7,2
1736849796,3,-9,2
1736849797,3,-10,2
1736849797,5,-8,2
1736849797,5,-8,2
1736849797,4,-8,2
1736849797,4,-7,2
1736849798,4,-6,2
1736849798,3,-6,2
1736849798,4,-7,2
1736849798,4,-6,2
1736849798,2,-5,2
1736849799,0,0,2
1736849799,-2,2,2
1736849799,-3,-1,2
1736849799,-3,-2,2
1736849799,-2,-1,2
1736849800,-1,-2,2
